CV Test Sol
2.45248819514545 1.426314747123423 "[7 7 4 1 1 5 6 4 2 4 7 7 7 6 4 3 5 1 2 1 2 6 1 7 5 5 6 1 2 5 4 4 1 2 1 5 2
 1 6 1 1 1 3 2 6 1 6 1 1 7 4 6 4 4 1 3 1 1 2 3 2 6 2 1 1 1 4 1 6 4 5 1 1 2
 1 1 7 6 6 4 7 0 6 7 2 3 2 5 3 0 0 7 4 7 3 2 6 0 7 6 0 6 6 0 6 0 4 0 6 6 3
 7 5 0 3 3 5 7 0 7 7 2 0 1 6 1 3 0 4 2 1 0 1 5 5 0 2 2 3 3 1 2 7 2 4 5 7 7
 0 6 4 6 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1
 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 0 1 1 1 1 1 0 0 0 1 1 1 1 1 1 1 0 1 1 1 1 1
 1 1 1 1 1 0]"
1.7248672829595946 1.2461941004213002 "[2 2 4 7 2 4 6 1 3 1 2 7 2 1 4 4 2 1 3 1 6 2 5 1 4 3 7 1 1 1 4 2 5 7 3 2 5
 1 7 5 3 4 5 5 1 4 1 6 3 1 4 1 1 2 5 2 4 1 2 1 4 2 2 1 4 4 5 1 2 6 3 7 1 4
 2 7 6 2 5 7 1 2 7 4 5 3 6 4 2 7 2 2 5 2 4 0 7 4 6 0 3 2 3 3 0 5 3 2 0 0 4
 2 0 4 0 3 6 5 4 3 1 5 0 7 5 2 4 2 1 5 6 4 7 1 7 0 7 2 4 0 6 7 4 6 4 6 0 1
 5 0 6 3 1 1 1 0 0 1 1 1 1 0 1 1 1 1 0 1 0 1 1 0 1 1 1 1 0 0 1 1 1 0 0 1 1
 1 0 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1
 1 0 1 1 1 0]"
2.604711414780012 1.659934344865419 "[5 6 3 1 5 4 2 3 5 5 3 4 5 5 2 7 2 2 1 4 3 6 1 1 2 1 2 6 1 2 7 1 1 2 2 4 6
 6 5 1 7 4 1 2 5 3 7 1 6 4 3 7 1 6 5 7 1 1 5 7 6 6 1 6 1 3 1 4 7 1 3 6 1 7
 4 1 0 5 0 5 0 0 3 7 0 4 3 3 7 2 6 7 0 2 5 0 4 2 2 7 7 0 6 7 4 1 5 5 2 2 0
 0 0 1 5 2 3 0 2 6 0 0 7 1 5 7 3 0 4 3 4 3 5 5 5 5 5 0 5 6 6 6 0 2 7 5 0 6
