CV Test Sol
3.366617261722638 1.9408394750480769 "[7 1 2 7 5 5 5 1 3 3 2 2 1 7 1 1 6 4 7 6 5 3 5 1 1 6 2 2 7 6 1 7 6 1 1 1 3
 1 6 3 6 4 3 1 1 2 4 1 3 4 4 3 3 5 5 3 3 6 5 1 1 3 1 4 1 3 5 7 5 6 4 7 6 3
 1 1 6 1 7 3 1 6 4 1 5 0 2 6 7 6 7 5 5 2 5 3 0 5 0 4 0 3 6 7 4 5 1 4 0 2 3
 2 3 4 7 0 4 3 5 4 0 1 7 4 0 6 5 2 5 0 1 3 2 5 1 2 2 6 0 0 5 2 6 1 1 2 6 7
 6 6 5 7 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 0 1 1 1 1 1]"
3.1558143584167 1.7918661432253964 "[1 1 6 4 5 1 2 3 6 1 4 4 4 4 2 6 7 4 3 1 4 6 6 1 6 2 2 1 3 5 1 6 3 1 1 7 4
 7 4 5 3 3 4 3 4 5 5 6 3 7 7 4 3 2 1 1 1 3 1 1 1 2 5 5 4 1 6 1 5 1 5 1 5 1
 7 3 6 2 0 2 3 4 5 0 7 3 0 3 4 6 5 7 0 3 4 1 5 5 1 3 0 3 7 5 3 2 3 2 4 2 6
 6 5 2 4 3 7 7 3 7 3 1 0 0 5 3 2 3 7 6 3 6 1 2 1 4 7 0 6 2 5 6 5 5 3 1 0 6
 1 5 4 7 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1]"
2.516565433189715 1.66906398919132 "[2 7 5 2 1 1 2 4 4 5 4 3 2 5 4 2 3 1 1 2 1 1 6 2 2 1 3 5 7 7 3 1 1 3 3 7 1
